index,code,title,source,lat,lon,plots,photo,url,detailed_map_url,group,url_class,img_class,marker-color,marker-symbol
26,snrw_mj,Selawik National Wildlife Refuge (Jorgenson et al. 2009),Jorgenson et al. 2009b,66.603128,-160.0132,275,,http://geobotanical.portal.gina.alaska.edu/catalogs/10676-alaska-arctic-vegetation-archive-selawik-natio,,0,,hidden,#fc3,square
27,swa_st,"Southwest Alaska Vegetation Plots (Talbot et al. 2010, Talbot and Talbot 2008, Daniels et al. 2004, Talbot and Talbot 1994)",Talbot (in progress),53.889299,-166.5377,,,http://geobotanical.portal.gina.alaska.edu/catalogs/10677-alaska-arctic-vegetation-archive-southwest-ala,,0,,hidden,#777,square
27a,swa_st_eai,swalaska_stalbot_easternaleutianislands,Talbot et al. 2010a,53.894485,-166.5423,70,,,,27,,, ,square
27b,swa_st_cai,swalaska_stalbot_centralaleutianislands,,51.863788,-176.6364,,,,,27,,, ,square
27c,swa_st_wai,swalaska_stalbot_westernaleutianislands,Talbot & Talbot 1994,52.832396,-173.1797,76,,,,27,,, ,square
27d,swa_st_niap,swalaska_stalbot_neighborislandsalaskapeninsula,"Talbot & Talbot 2008, Daniels et al. 2004",54.893743,-159.272,30,,,,27,,, ,square
27e,swa_st_ap,swalaska_stalbot_alaskapeninsulabecharofnwr,,58.085882,-156.4305,,,,,27,,, ,square
27f,swa_st_inwr,swalaska_stalbot_izembeknwr,,55.28674,-162.6811,,,,,27,,, ,square
27g,swa_st_kdka,swalaska_stalbot_kodiakarchipelago,,57.659969,-153.6363,,,,,27,,, ,square
27h,swa_st_snwr,swalaska_stalbot_selawiknwr,,66.580622,-159.173,,,,,27,,, ,square
28,tl_dw,Toolik Lake (Walker and Barry 1991),Walker & Barry 1991,68.62851,-149.5917,81,ToolikLake (TL_SW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/6803-alaska-arctic-vegetation-archive-toolik-lake-v,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/28-toolik-lake,0,,,#4caa4c,square
29,umi_ec,Umiat (Churchhill 1955),Churchhill 1955,69.366767,-152.1411,78,,http://geobotanical.portal.gina.alaska.edu/catalogs/10678-alaska-arctic-vegetation-archive-umiat,,0,,hidden,#777,square
30,wa-wh,Western Alaska Vegetation Plots (Hanson 1951),Hanson 1951,66.898228,-162.5991,21,,http://geobotanical.portal.gina.alaska.edu/catalogs/10679-alaska-arctic-vegetation-archive-western-alask,,0,,hidden,#86ef87,square
31,wllw_us,Willow Vegetation Plots (Schickhoff et al. 2002),Schickhoff et al. 2002,68.794047,-148.8258,85,Willows(WLLW_US).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9667-alaska-arctic-vegetation-archive-willows-veget,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/31-willows,0,,,#4caa4c,square
32,ykd_mJ,Yukon-Kuskokwim Delta Plots (Jorgenson et al. 2000),Jorgenson et al. 2000,61.252657,-165.3406,65,,http://geobotanical.portal.gina.alaska.edu/catalogs/10680-alaska-arctic-vegetation-archive-yukon-kuskokw,,0,,hidden,#fc3,square
